road_id;point_id;longitude;latitude
18303015[D15 (5)];61948S;8.671533;50.127136
18303015[D15 (5)];619481;8.672081;50.127567
18303015[D15 (5)];619482;8.672564;50.127926
18303015[D15 (5)];61948E;8.672907;50.128098
18967003[D3];61362S;8.679569;50.10333
18967003[D3];613621;8.680293;50.10241
18967003[D3];61362E;8.680526;50.10209
18890014[D8 (KFZ8)];109597S;8.692355;50.128433
18890014[D8 (KFZ8)];109597E;8.693006;50.128883
17398001[D1];66558S;8.648101;50.086994
17398001[D1];66558E;8.649022;50.087124
18864009[D4b (KFZ4)];106622S;8.6882;50.111404
18864009[D4b (KFZ4)];1066221;8.688208;50.11155
18864009[D4b (KFZ4)];1066222;8.68821;50.111897
18864009[D4b (KFZ4)];1066223;8.6882;50.112144
18864009[D4b (KFZ4)];106622E;8.688141;50.11251
18864018[D44 (OV44)];106622S;8.6882;50.111404
18864018[D44 (OV44)];1066221;8.688208;50.11155
18864018[D44 (OV44)];1066222;8.68821;50.111897
18864018[D44 (OV44)];1066223;8.6882;50.112144
18864018[D44 (OV44)];106622E;8.688141;50.11251
18384008[D3c (KFZ3)];106648S;8.687809;50.11791
18384008[D3c (KFZ3)];1066481;8.688;50.117832
18384008[D3c (KFZ3)];106648E;8.68812;50.11778
17399008[D8];60747S;8.650706;50.08755
17399008[D8];607471;8.65065;50.087467
17399008[D8];607472;8.650504;50.0873
17399008[D8];607473;8.6502;50.086807
17399008[D8];607474;8.650021;50.086536
17399008[D8];607475;8.649869;50.086273
17399008[D8];60747E;8.649826;50.0862
18887019[D80b (KFZ8)];107661S;8.683909;50.135292
18887019[D80b (KFZ8)];1076611;8.683861;50.135094
18887019[D80b (KFZ8)];1076612;8.68385;50.134785
18887019[D80b (KFZ8)];1076613;8.683883;50.134426
18887019[D80b (KFZ8)];1076614;8.683906;50.134186
18887019[D80b (KFZ8)];1076615;8.684003;50.132847
18887019[D80b (KFZ8)];1076616;8.683998;50.13238
18887019[D80b (KFZ8)];107661E;8.683886;50.131706
18179008[D40a (Video)];106586S;8.687409;50.10653
18179008[D40a (Video)];1065861;8.687519;50.106606
18179008[D40a (Video)];1065862;8.687648;50.10672
18179008[D40a (Video)];1065863;8.687733;50.10684
18179008[D40a (Video)];106586E;8.687782;50.106926
17390005[D3a];107457S;8.62883;50.087536
17390005[D3a];107457E;8.628722;50.087833
17390004[D3];107457S;8.62883;50.087536
17390004[D3];107457E;8.628722;50.087833
18828004[D4 (KFZ2)];106623S;8.687943;50.1125
18828004[D4 (KFZ2)];1066231;8.688011;50.112347
18828004[D4 (KFZ2)];1066232;8.688046;50.11222
18828004[D4 (KFZ2)];1066233;8.688047;50.1122
18828004[D4 (KFZ2)];106623E;8.688035;50.111404
17404001[D1 (1)];105932S;8.645912;50.084473
17404001[D1 (1)];105932E;8.644346;50.08373
18369012[D8a (KFZ8)];64139S;8.699596;50.13872
18369012[D8a (KFZ8)];641391;8.698732;50.13882
18369012[D8a (KFZ8)];641392;8.698503;50.138897
18369012[D8a (KFZ8)];64139E;8.6982565;50.13898
18436009[D4a];61817S;8.694127;50.144257
18436009[D4a];618171;8.6922455;50.143883
18436009[D4a];618172;8.692241;50.143883
18436009[D4a];61817E;8.692216;50.14388
17388001[DET 1 (1)];60745S;8.638801;50.089447
17388001[DET 1 (1)];607451;8.638549;50.089344
17388001[DET 1 (1)];607452;8.63822;50.089214
17388001[DET 1 (1)];607453;8.638064;50.08917
17388001[DET 1 (1)];607454;8.637404;50.08898
17388001[DET 1 (1)];60745E;8.636245;50.088818
17451003[D3 (1)];105670S;8.629137;50.084793
17451003[D3 (1)];1056701;8.62917;50.0846
17451003[D3 (1)];105670E;8.62918;50.084545
17390003[D2];105762S;8.627928;50.08782
17390003[D2];105762E;8.628603;50.08783
17387002[D2];60746S;8.63657;50.088863
17387002[D2];607461;8.637404;50.08898
17387002[D2];607462;8.638064;50.08917
17387002[D2];607463;8.63822;50.089214
17387002[D2];607464;8.638549;50.089344
17387002[D2];60746E;8.638801;50.089447
18367005[D3b (KFZ3)];41768S;8.692551;50.132004
18367005[D3b (KFZ3)];417681;8.693274;50.132042
18367005[D3b (KFZ3)];417682;8.693924;50.132046
18367005[D3b (KFZ3)];41768E;8.694877;50.132107
18890011[D7a (KFZ7)];106311S;8.693761;50.129627
18890011[D7a (KFZ7)];106311E;8.693086;50.12918
18369010[D5 (KFZ5)];106346S;8.698792;50.14095
18369010[D5 (KFZ5)];1063461;8.698652;50.140755
18369010[D5 (KFZ5)];1063462;8.698596;50.140568
18369010[D5 (KFZ5)];1063463;8.698587;50.14038
18369010[D5 (KFZ5)];1063464;8.698531;50.140064
18369010[D5 (KFZ5)];106346E;8.6980295;50.13902
18864001[D10a (KFZ1)];60858S;8.685888;50.11239
18864001[D10a (KFZ1)];608581;8.686391;50.112442
18864001[D10a (KFZ1)];608582;8.687503;50.112476
18864001[D10a (KFZ1)];608583;8.687706;50.112484
18864001[D10a (KFZ1)];60858E;8.687943;50.1125
18367007[D3d (KFZ3)];41768S;8.692551;50.132004
18367007[D3d (KFZ3)];417681;8.693274;50.132042
18367007[D3d (KFZ3)];417682;8.693924;50.132046
18367007[D3d (KFZ3)];41768E;8.694877;50.132107
18864010[D5 (KFZ5)];60858S;8.685888;50.11239
18864010[D5 (KFZ5)];608581;8.686391;50.112442
18864010[D5 (KFZ5)];608582;8.687503;50.112476
18864010[D5 (KFZ5)];608583;8.687706;50.112484
18864010[D5 (KFZ5)];60858E;8.687943;50.1125
18372007[D7 (KFZ4)];74664S;8.705125;50.14438
18372007[D7 (KFZ4)];746641;8.705375;50.144676
18372007[D7 (KFZ4)];74664E;8.705929;50.145313
17451002[D2 (1)];105670S;8.629137;50.084793
17451002[D2 (1)];1056701;8.62917;50.0846
17451002[D2 (1)];105670E;8.62918;50.084545
17399005[D5];105795S;8.647803;50.08517
17399005[D5];1057951;8.648048;50.085297
17399005[D5];1057952;8.64842;50.085476
17399005[D5];1057953;8.6488285;50.08566
17399005[D5];1057954;8.649141;50.085785
17399005[D5];105795E;8.649331;50.085846
17451006[D6 (4)];105972S;8.62925;50.084217
17451006[D6 (4)];1059721;8.629191;50.08449
17451006[D6 (4)];105972E;8.62918;50.084545
18890006[D20c (KFZ2)];60727S;8.694647;50.128456
18890006[D20c (KFZ2)];60727E;8.693301;50.129078
18371003[D20a];62079S;8.698935;50.14082
18371003[D20a];620791;8.699033;50.140896
18371003[D20a];62079E;8.703475;50.14306
18179001[D10 (Video)];74314S;8.683414;50.107246
18179001[D10 (Video)];743141;8.683498;50.107265
18179001[D10 (Video)];743142;8.683825;50.107338
18179001[D10 (Video)];743143;8.684383;50.10741
18179001[D10 (Video)];743144;8.685012;50.107456
18179001[D10 (Video)];743145;8.685599;50.107433
18179001[D10 (Video)];743146;8.68634;50.107372
18179001[D10 (Video)];743147;8.687012;50.107273
18179001[D10 (Video)];743148;8.687431;50.107212
18179001[D10 (Video)];74314E;8.687656;50.107162
18864004[D20b (KFZ2)];45355S;8.689231;50.11266
18864004[D20b (KFZ2)];453551;8.6888485;50.112637
