"Summary","UID","Description","Location","Start Time","End Time","URL"
"Osterferien","c830e1d1-7965-4916-8309-6d77ed6e6ff9","Osterferien 2020 in Hessen - Importiert von Ferienwiki.de","","2020-04-06","2020-04-19",""
"Sommerferien","c07a8f1a-5f6b-4523-abfa-2337f3a203b7","Sommerferien 2020 in Hessen - Importiert von Ferienwiki.de","","2020-07-06","2020-08-15",""
"Herbstferien","5ff46f5c-2fb9-46a9-b8c7-edecc471b82c","Herbstferien 2020 in Hessen - Importiert von Ferienwiki.de","","2020-10-05","2020-10-18",""
"Weihnachtsferien","9d6be7c5-0c4b-42f9-b8c5-f307cef8c534","Weihnachtsferien 2020 in Hessen - Importiert von Ferienwiki.de","","2020-12-21","2021-01-10",""
