"Summary","UID","Description","Location","Start Time","End Time","URL"
"Neujahr","1c85c800-07b8-4f2f-bc9d-e35f42296a97","Neujahr - Importiert von Ferienwiki.de","","2020-01-01","2020-01-02",""
"Heilige Drei Könige","54d2a20c-9ca0-4781-954f-8e67bb126e41","Heilige Drei Könige - Importiert von Ferienwiki.de","","2020-01-06","2020-01-07",""
"Internationaler Frauentag","42acaa6f-220a-4726-b19f-73d18ac0ec2e","Internationaler Frauentag - Importiert von Ferienwiki.de","","2020-03-08","2020-03-09",""
"Karfreitag","1eb26ee2-4af2-415e-9d85-f73a147de316","Karfreitag - Importiert von Ferienwiki.de","","2020-04-10","2020-04-11",""
"Ostersonntag","0751f4bd-cce7-4c82-abb2-c8c3fb9b0225","Ostersonntag - Importiert von Ferienwiki.de","","2020-04-12","2020-04-13",""
"Ostermontag","fba013bd-eec5-48be-889c-1eaee8387777","Ostermontag - Importiert von Ferienwiki.de","","2020-04-13","2020-04-14",""
"Tag der Arbeit","2d7021bc-6e4e-41e8-a0dc-ab8eb0007228","Tag der Arbeit - Importiert von Ferienwiki.de","","2020-05-01","2020-05-02",""
"Tag der Befreiung","b67ac5f1-b484-44b4-a240-b063059b05ce","Tag der Befreiung - Importiert von Ferienwiki.de","","2020-05-08","2020-05-09",""
"Christi Himmelfahrt","22708a20-9d20-4199-a65e-163c15bda28a","Christi Himmelfahrt - Importiert von Ferienwiki.de","","2020-05-21","2020-05-22",""
"Pfingstsonntag","da8da974-c542-416b-9451-feadd9e309fa","Pfingstsonntag - Importiert von Ferienwiki.de","","2020-05-31","2020-06-01",""
"Pfingstmontag","683fda73-b31e-4126-adc8-e579e282a5ba","Pfingstmontag - Importiert von Ferienwiki.de","","2020-06-01","2020-06-02",""
"Fronleichnam","832c8914-8581-47d1-857d-1ab9621d0c5d","Fronleichnam - Importiert von Ferienwiki.de","","2020-06-11","2020-06-12",""
"Augsburger Friedensfest","dc080d55-0336-465b-9974-ad5a8b22e52b","Augsburger Friedensfest - Importiert von Ferienwiki.de","","2020-08-08","2020-08-09",""
"Mariä Himmelfahrt","fbaacd57-b94b-4716-bd26-c2f6deb175c8","Mariä Himmelfahrt - Importiert von Ferienwiki.de","","2020-08-15","2020-08-16",""
"Tag der Deutschen Einheit","626d18f8-4612-4a76-ba72-8b89fab74adb","Tag der Deutschen Einheit - Importiert von Ferienwiki.de","","2020-10-03","2020-10-04",""
"Reformationstag","2a6fbdaf-acf4-436e-9e54-6de825ae3a98","Reformationstag - Importiert von Ferienwiki.de","","2020-10-31","2020-11-01",""
"Allerheiligen","ebf81a63-f2b6-43ae-8d45-35c855fc5440","Allerheiligen - Importiert von Ferienwiki.de","","2020-11-01","2020-11-02",""
"Buß- und Bettag","7f006c5e-58e3-4048-8bcf-ff4aced63eeb","Buß- und Bettag - Importiert von Ferienwiki.de","","2020-11-18","2020-11-19",""
"1. Weihnachtstag","4aca00c1-9a5d-4a85-ae5a-bc6dd56e041b","1. Weihnachtstag - Importiert von Ferienwiki.de","","2020-12-25","2020-12-26",""
"2. Weihnachtstag","d24059a0-34bd-45b4-b7d1-83e563dbd7a3","2. Weihnachtstag - Importiert von Ferienwiki.de","","2020-12-26","2020-12-27",""
